"","ESTs.94","antigen.identified.by.monoclonal.antibodies.12E7..F21.and.O13","transmembrane.protein","sarcoglycan..alpha..50kD.dystrophin.associated.glycoprotein.","Fc.fragment.of.IgG..receptor..transporter..alpha","insulin.like.growth.factor.2..somatomedin.A.","Human.DNA.for.insulin.like.growth.factor.II..IGF.2...exon.7.and.additional.ORF","fibroblast.growth.factor.receptor.4","microtubule.associated.protein.1B","V554","y"
"68",0.0678463133823716,-0.131534199238144,-0.54699032844468,2.83770666495234,-0.762020502919863,3.74685171850133,2.18174243089487,0.457558093520494,-0.086304273033608,2.41061070058557,"RMS"
"39",2.02322394686367,-0.885322646158485,1.62705080859945,-0.233147999802177,-0.718317256963097,-0.606885879533385,-0.649845380750503,-0.565024670339041,0.696695821156692,-0.4733889481995,"NB"
"1",-0.888180417057203,0.892192359111744,-0.760780977879413,-0.647230041056484,1.59475238572283,-0.623840166211581,-0.653229960843664,-0.495401558978631,-0.696787073325077,-0.381650718379564,"EWS"
"34",1.07158952885381,-0.333512539656379,1.8418471936162,-0.454424332049042,-0.648932074804725,1.38203677920811,0.707955377333781,-0.546148358272816,1.49207868975227,-0.389975320232896,"NB"
"43",0.640543959047177,-1.02155901695039,1.17267384029478,-0.409136177872844,-0.811437822701437,-0.297897998094012,0.211607565702206,-0.490054161792732,0.644279416878023,-0.473835906688269,"NB"
"14",-0.968939070594387,2.72261776885232,0.196104590155077,-0.552548666097473,1.9109102066888,-0.636755544757825,-0.663658590876907,-0.487380463199782,-0.731831527103132,-0.484842259474218,"EWS"
"59",1.16023437970797,-0.286463467417778,-0.677233086316041,0.888859398837971,-0.583502789909681,1.85128032059496,1.14686841103928,0.336118703428719,0.0414907676733301,0.975315253524575,"RMS"
"51",2.05476873613159,-0.419109112157806,-0.390023739393978,-0.165348190041319,-0.705256516792109,0.304697967717299,0.0351970662271973,0.976683412327604,-0.664267262872371,-0.473947646310462,"RMS"
"21",-1.01006708698168,-0.0379641027097483,0.600051102847114,-0.711586891727924,1.12444015552717,-0.639950161359369,-0.659397799693638,-0.575665990738981,-0.139141451199835,-0.473109599144019,"EWS"
"54",0.843888059486293,-0.491398876349326,-0.281619811303584,2.9305341388632,-0.748269050528294,0.920460317664975,0.555305660949339,1.88771947088928,-0.515854301675085,3.01154638873613,"RMS"
"7",-0.468015803042358,2.2366552415663,-0.541386944487722,-0.276582252930227,0.764767464664584,-0.526746640214644,-0.50147363615894,-0.56400866487372,-0.512608331685351,-0.285722252727415,"EWS"
"37",-0.228435125058127,-0.249077672642324,0.451920619267,-0.546192433932392,-0.653767060348792,-0.506346731344782,-0.378168400988299,-0.440537263851304,0.536561301663143,-0.407350831483809,"NB"
"72",-0.703703295009345,1.34747530057214,-0.65833962502527,-0.454689175055921,1.62828332443104,-0.553558600977605,-0.587789018839349,-0.608017743713672,0.0470209387669512,-0.414837386170698,"EWS"
"80",1.94745655745116,-0.585866654390691,1.23201223963386,-0.566055659448269,-0.59103783231602,-0.620075082359761,-0.630482833720085,-0.560586330674745,4.00836664790521,-0.32768048086065,"NB"
"44",1.19118021728093,-0.0804719625886186,-0.272927382344712,0.476896101638691,-0.712414807078131,1.93073499921337,1.46383347773332,2.46010486566795,0.245626213694385,3.10367570723374,"RMS"
"33",-0.136196564034198,-0.545946229460969,1.32080432387489,-0.516927281672334,-0.70349834023063,0.00271542411131269,-0.0464280100296947,-0.444173493937716,1.63484125874521,-0.400925803207748,"NB"
"35",1.48556497535406,-0.8578113480257,0.746744821310059,-0.551754137076838,-0.733261757735669,-0.639037413758928,-0.675925546138414,-0.576842418119879,1.02315624734643,-0.49037337077274,"NB"
"42",-0.110940767563361,-0.49266619142646,1.91246419912505,-0.51441127310699,-0.625071107184651,-0.602641603191333,-0.623404422560784,-0.570532489440518,-0.237121656445512,-0.460762370891762,"NB"
"38",2.76173138675006,-0.667186038506791,1.56038490716281,-0.495342576611748,-0.725663923309277,-0.560016290250727,-0.644124237750389,-0.596681261679565,1.23714982444742,-0.479925716097754,"NB"
"47",0.905879559914713,-0.695542213357665,0.564347489685466,1.40808411382298,-0.424073850995557,-0.055654784936905,0.934756604794785,-0.0838123975799576,-0.561177660420631,0.891398797258106,"RMS"
"20",-0.893171681181874,2.37378929387118,-0.276016427346625,-0.49017813797762,2.34831941837678,-0.634519313136744,-0.671561671297485,-0.515935564172485,-0.626818386879698,-0.466461091623573,"EWS"
"28",-0.214958711921514,-0.956978752811438,-0.819688347683338,-0.657823761331618,-0.86462266368618,-0.620097901049772,-0.666373127195279,-0.452568907519578,-0.707606973290858,-0.431151371010784,"BL"
"63",-0.610965607572949,-0.470224153602211,-0.713080375989406,0.184377000541548,-0.79128158426448,3.71353643108522,4.92464393573365,-0.421660951785079,-0.534308242172277,-0.250133183059145,"RMS"
"58",-0.577723788502637,-1.01559207512889,-0.772346937072623,-0.281614270060916,-0.0210746662965248,-0.468741530206602,2.5751440297436,-0.444868655571882,-0.0754242625124623,5.13426399152458,"RMS"
"69",-0.866218854908648,-0.90480761546942,-0.822346363150101,-0.678084251357813,-0.83529879032151,-0.637326012008101,-0.672798675189402,-0.709885660105055,-0.758099839797832,-0.461041719947243,"BL"
"57",1.13437963154217,-0.526936503303959,-0.652736241068312,-0.204809798066193,-0.382317157660429,1.96628651825056,1.38394364304704,1.40046463931013,0.303272236289847,-0.0668243328525622,"RMS"
"23",-0.989602904070527,0.451219517063985,-0.229465237550353,-0.590818480591395,1.15125234808972,-0.634405219686689,-0.668469161567694,-0.336744284472997,-0.737722361528946,-0.400925803207748,"EWS"
"6",-0.908844250533343,1.48930897962139,-0.624216453492509,-0.478657467178412,1.21360482400218,-0.588448378004472,-0.562035285034028,-0.526683832516143,-0.531062272182543,-0.385170516478624,"EWS"
